blank,brewery_id,name,alcohol,style
,812,Hocus Pocus,4.5,Light American Wheat Ale or Lager
,264,Grimbergen Blonde,6.7,Crappy
,779,Widdershins Barleywine,9.1,Crappy
,287,Lucifer,8.5,Crappy
,1056,Bitter,4,Crappy
,1385,Winter Warmer,5.2,Old Ale
,1099,Winter Welcome 2007-2008,6,Crappy
,1099,Oatmeal Stout,5,American-Style Stout
,501,Espresso Porter,0,Crappy
,545,Chocolate Stout,0,American-Style Stout
,742,Hitachino Nest Real Ginger Brew,7,Crappy
,779,JuJu Ginger,4,Crappy
,545,The Kidd Lager,0,German-Style Schwarzbier
,1099,Imperial Stout,7,American-Style Stout
,1315,Oak-Aged Belgian Tripel,9,Crappy
,168,Ultrablonde,8,Crappy
,1023,Wiesen Edel Weisse,6.2,South German-Style Hefeweizen
,39,Old Foghorn 2001,10,Crappy
,196,Framboise,6,Crappy
,483,Cow Palace Scotch Ale 1998,8.7,Scotch Ale
,1142,Bigfoot 2001,9.6,Crappy
,1142,Bigfoot 2002,9.6,Crappy
,1142,Bigfoot 2003,9.6,Crappy
,1142,Bigfoot 2004,9.6,Crappy
,1142,Bigfoot 2005,9.6,Crappy
,1220,Winter Ale,5.9,Old Ale
,878,Full Moon Winter Ale,5.6,Other Belgian-Style Ales
,935,Odell IPA,7,American-Style India Pale Ale
,1271,Ornery Amber Lager,0,American-Style Lager
,935,Cutthroat Porter,4.8,Porter
,1271,Maple Nut Brown Ale Ale,0,American-Style Brown Ale
,1271,Cocoa Porter,0,Crappy
,190,Jenlain Blonde,7.5,Crappy
,196,Blonde,7.5,Crappy
,432,Flemish Primitive Wild Ale (Demon Fish),9,Crappy
,294,Witkap-Pater Tripel,7.5,Crappy
,1175,Winter Cheer,0,American-Style Brown Ale
,743,Canaster Winter Scotch,8.7,Crappy
,1307,Sixteen,10,Crappy
,1307,Quelque Chose,8,Belgian-Style Fruit Lambic
,277,Kriek,7,Crappy
,170,BiÃ¨re Darbyste,0,Light American Wheat Ale or Lager
,723,Maracaibo Especial,7.5,American-Style Brown Ale
,432,Flemish Primitive Wild Ale (Pin Head),9,Crappy
,723,Calabaza Blanca,4.8,Other Belgian-Style Ales
,901,Porter,0,Porter
,901,Cardinal Pale Ale,0,American-Style Pale Ale
,176,Zinnebir Xmas,6.6,Crappy
,974,Bridal Ale 2005,0,Crappy
,176,Zinnebir,0,American-Style Pale Ale
,432,Saison Imperiale,8.5,Crappy
,170,La Moneuse,8,Crappy
,901,Red Sled Winter Ale,0,Crappy
,39,Christmas Ale 2007,0,Crappy
,176,Equinox Dark Belgian Winter,8,Crappy
,856,Serafijn Christmas Angel,8,Crappy
,160,Obovoid Empirical Stout,8,American-Style Imperial Stout
,1221,Furious Beer,6,American-Style India Pale Ale
,1221,Bender Beer,5.1,American-Style Brown Ale
,1315,Oak Aged Ebenezer,9.4,Crappy
,160,Killer Penguin,10,American-Style Barley Wine Ale
,236,Oatmeal Stout,0,American-Style Stout
,935,Isolation Ale,6,Winter Warmer
,501,Festive Ale 2007,0,Crappy
,586,Bourbon County Stout 2007,13,Crappy
,670,Twelve Days,5.5,American-Style Stout
,1056,Seriously Bad Elf,9,Crappy
,905,Big Shot Seasonal Ale,0,Porter
,923,God Jul - Winter Ale,8.5,American-Style Stout
,1142,Harvest Ale 2007,6.7,American-Style Pale Ale
,161,Nut Cracker Ale,5.9,Winter Warmer
,779,Goosinator Smoked Doppelbock 2007,0,American-Style Lager
,779,Snow Bound Winter Ale,8.6,Crappy
,779,Warrior IPA,6.6,American-Style India Pale Ale
,266,Petrus Oud Bruin,5.5,Crappy
,266,Petrus Gouden Tripel Ale,7.5,Crappy
,266,Petrus Blond Ale,6.6,Crappy
,266,Petrus Dubbel Bruin Ale,6.5,Belgian-Style Dubbel
,266,Petrus Speciale,5.5,American-Style Pale Ale
,1202,Weizengold Hefefein,5.1,South German-Style Hefeweizen
,160,Never Summer Ale,5.94,Winter Warmer
,1264,Modern Monks Belgian Blonde,0,American-Style Pale Ale
,1264,Grand Cru,0,Crappy
,210,JÃ¶rger WeiÃŸe Hell,0,South German-Style Hefeweizen
,1272,OSB Premium Ale,4.5,Crappy
,425,Morocco Ale,5.5,Crappy
,1047,Glacier Ale,0,American-Style Amber/Red Ale
,1047,Bent Nail IPA,0,American-Style India Pale Ale
,879,Espresso Porter,0,Crappy
,879,Harvest Ale,0,American-Style Pale Ale
