name,city,country,latitude,longitude
(512) Brewing Company,Austin,United States,30.2234,-97.7697
21st Amendment Brewery Cafe,San Francisco,United States,37.7825,-122.393
3 Fonteinen Brouwerij Ambachtelijke Geuzestekerij,Beersel,Belgium,50.7668,4.3081
Aass Brewery,Drammen,Norway,59.7451,10.2135
Abbaye de Leffe,Dinant,Belgium,50.2606,4.9122
Abbaye de Maredsous,Dene,Belgium,50.3093,4.7646
Abbaye Notre Dame du St Remy,Rochefort,Belgium,50.1999,5.2277
Abbey Wright Brewing/Valley Inn,Williamsport,United States,41.2225,-77.0369
Aberdeen Brewing,Valparaiso,United States,41.4392,-87.1078
Abita Brewing Company,Abita Springs,United States,30.5049,-89.944
Adnams & Co.,Southwold,United Kingdom,52.3277,1.6802
Affligem Brouwerij,Opwijk,Belgium,50.9699,4.1892
Agassiz Brewing,Winnipeg,Canada,49.7652,-97.1539
Aksarben Brewing (BOP),Omaha,United States,41.2603,-96.0903
Aktienbrauerei Kaufbeuren,Kaufbeuren,Germany,47.8781,10.6161
Alameda Brewhouse,Portland,United States,45.5484,-122.619
Alaskan Brewing,Juneau,United States,58.3573,-134.49
Alaus Darykla Kalnapilis,Panevys,Lithuania,0,0
Aldaris,Rga,Latvia,0,0
Ale Asylum,Madison,United States,43.1257,-89.3253
AleSmith Brewing,San Diego,United States,32.892,-117.144
Ali`i Brewing,Honolulu,United States,21.3069,-157.858
Allagash Brewing,Portland,United States,43.7028,-70.3166
Allentown Brew Works,Allentown,United States,40.6016,-75.474
Allguer Brauhaus AG Kempten,Kempten,Germany,47.7487,10.5694
"Allguer Brauhaus AG Kempten, Brausttte Leuterschach",Marktoberdorf,Germany,0,0
Alltech's Lexington Brewing Company,Lexington,United States,38.0501,-84.5088
Alpine Beer Company,Alpine,United States,32.8355,-116.765
Alpirsbacher Klosterbru,Alpirsbach,Germany,48.3457,8.4031
Alvinne Picobrouwerij,Ingelmunster,Belgium,50.919,3.2632
America's Brewing,Aurora,United States,41.7605,-88.309
American River Brewing,Auburn,United States,38.8966,-121.077
Amerisports Brew Pub,Kansas City,United States,39.1551,-94.482
Amherst Brewing Company,Amherst,United States,42.3763,-72.5199
"Amicas Pizza, Microbrews and More",Salida,United States,38.535,-105.992
Amstel Brouwerij,Amsterdam,Netherlands,52.3738,4.8909
Anacortes Brewing,Anacortes,United States,48.5193,-122.613
Anchor Brewing,San Francisco,United States,37.7635,-122.401
Andechser Klosterbrauerei,Andechs,Germany,47.9775,11.185
Anderson Valley Brewing,Boonville,United States,39.0014,-123.356
Andrew's Brewing,Lincolnville,United States,44.3516,-69.1401
Angelic Brewing,Madison,United States,43.0785,-89.382
Anheuser-Busch,Saint Louis,United States,38.5983,-90.209
Appalachian Brewing Company,Harrisburg,United States,40.2659,-76.8753
Appleton Brewing,Appleton,United States,44.2619,-88.4154
Arcadia Brewing,Battle Creek,United States,42.322,-85.1851
Arcobrau Grafliches Brauhaus,Moos,Germany,0,0
Arthur Guinness & Son,Dublin,Ireland,53.3433,-6.2846
Asahi Breweries,Tokyo,Japan,0,0
Asheville Pizza and Brewing Co.,Asheville,United States,35.6221,-82.5536
ateck Pivovar,atec,Czech Republic,0,0
Athenian Brewery,Athens,Greece,0,0
Atlanta Brewing Company,Atlanta,United States,33.818,-84.4353
Atlantic Brewing Company,Bar Harbor,United States,44.3996,-68.334
Atwater Block Brewing,Detroit,United States,42.3372,-83.0186
August Schell Brewing,New Ulm,United States,44.2896,-94.449
Augusta Brewing,Augusta,United States,38.5702,-90.8802
Augustiner-BrÃ¤u MÃ¼nchen,MÃ¼nchen,Germany,0,0
Australian Brewing Corporation,Little River,Australia,-37.968,144.525
Avery Brewing Company,Boulder,United States,40.0166,-105.219
Back Road Brewery,LaPorte,United States,41.6124,-86.7268
Backcountry Brewery,Frisco,United States,39.5765,-106.094
