id,user_id,beer_id,bar_id,rating,title,content,created_at,updated_at
1,10,2232,2,5,Lithium,Hnn-rowr wyogg wua rarr!,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
2,9,2028,6,2,Iridium,Wua roo mumwa roo ahuma roooarrgh roo ur!,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
3,1,475,19,5,Nobelium,Rarr gwyaaaag roo ru youw ur ooma yrroonn wua muaa kabukk.,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
4,9,2263,3,1,Francium,Ru ooma kabukk roooarrgh yrroonn nng wua?,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
5,8,2612,7,2,Calcium,Roooarrgh huewaa ahuma nng wyogg?,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
6,5,1226,19,4,Fermium,Ma ruh ru!,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
7,9,372,11,4,Flerovium,Mumwa wua?,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
8,8,523,12,3,Protactinium,Wyaaaaaa mumwa gwyaaaag!,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
9,9,1666,8,4,Rutherfordium,Wyaaaaaa ma mumwa nng ahuma.,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
10,7,407,5,3,Livermorium,Gwyaaaag huewaa youw roooarrgh!,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
11,1,1943,11,3,Bromine,Wyaaaaaa muaa ur rarr ma kabukk kabukk!,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
12,2,456,5,5,Hassium,Roo ga gwyaaaag ruh ooma muaa mumwa youw ur!,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
13,4,1191,17,5,Meitnerium,Ruh ga ur hnn-rowr mumwa ma roooarrgh wua ooma!,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
14,5,1568,8,4,Krypton,Wyaaaaaa youw ur kabukk ur!,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
15,4,76,11,4,Molybdenum,Ma ruh rarr ruh nng yrroonn!,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
16,9,612,12,4,Thallium,Roo wua rarr ooma wyaaaaaa ur?,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
17,3,1279,15,3,Nickel,Ruh ruh nng wyogg wyaaaaaa gwyaaaag ma ru mumwa?,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
18,6,9,1,5,Americium,Roooarrgh roo gwyaaaag muaa gwyaaaag gwyaaaag.,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
19,4,1419,15,3,Argon,Gwyaaaag nng ga ru wyaaaaaa wua ur ru roooarrgh!,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
20,8,749,5,2,Titanium,Youw ur wua roo roo ru wua roooarrgh!,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
21,10,656,5,1,Gold,Muaa wyogg rarr youw?,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
22,3,444,5,4,Strontium,Muaa nng rarr wyaaaaaa wyogg youw mumwa ru ruh youw?,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
23,8,2054,2,1,Darmstadtium,Huewaa ahuma roo roooarrgh muaa ma muaa yrroonn muaa wyogg youw!,2021-04-02 15:41:28 UTC,2021-04-02 15:41:28 UTC
24,1,2534,11,5,Vanadium,Muaa yrroonn youw youw rarr rarr yrroonn rarr ur rarr ahuma!,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
25,8,265,9,2,Oxygen,Kabukk ur mumwa mumwa youw mumwa gwyaaaag ru wyogg?,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
26,3,2464,16,4,Manganese,Wyogg muaa roo youw gwyaaaag muaa huewaa wua mumwa?,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
27,4,198,15,2,Zinc,Ur ga muaa nng wyaaaaaa ruh ur.,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
28,2,720,13,4,Darmstadtium,Ur nng gwyaaaag roo.,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
29,9,1410,11,3,Technetium,Ahuma huewaa ga rarr huewaa wua kabukk ruh ur roooarrgh!,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
30,1,1280,11,4,Flerovium,Yrroonn nng ruh kabukk!,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
31,7,1951,20,1,Nickel,Gwyaaaag ga youw nng ur gwyaaaag youw.,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
32,8,174,1,2,Indium,Muaa gwyaaaag hnn-rowr ooma roo wyaaaaaa hnn-rowr kabukk roo gwyaaaag rarr?,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
33,9,1784,6,1,Argon,Mumwa ruh nng ahuma wyaaaaaa wyogg rarr wua?,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
34,3,1521,2,2,Beryllium,Wua wua wyaaaaaa ooma muaa ru ru ahuma roooarrgh wyaaaaaa.,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
35,6,1960,3,4,Erbium,Wua ru youw?,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
36,2,1316,20,3,Lithium,Muaa hnn-rowr ooma wyaaaaaa.,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
37,7,1239,18,1,Aluminum,Nng kabukk?,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
38,8,197,18,1,Neon,Wyaaaaaa youw roooarrgh kabukk youw!,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
39,7,2418,14,5,Beryllium,Wua wyogg.,2021-04-02 15:41:29 UTC,2021-04-02 15:41:29 UTC
